student_id,major
b1221e3c-3534-458a-ad26-2f854a1ab874,Bioengineering and biomedical engineering
497f1d11-08c2-41c0-a302-7a7256c83a37,Accounting and computer science
03050aee-5b26-467c-b461-03507166af4d,"Political science and government, general"
355086ba-b40a-4ada-83f3-d3af9cd8a665,Architecture
03287a6d-34a0-43d4-bae5-e2d884b9e652,Advertising
973c413d-5bc9-429c-a180-60570a7e7db4,Advertising
973c413d-5bc9-429c-a180-60570a7e7db4,Journalism
244917d3-6d14-42db-9298-62094cc30df0,Computer science
62965e90-a969-407e-ae52-c48a9abd6258,"Political science and government, general"
71dcb34f-f1d9-4e3d-9e7f-3a997b391c9c,"Civil engineering, general"
38060015-a560-43d0-b776-4570f334982f,"Design and applied arts, other"
dca0d51d-3ccb-4220-ac37-4973c286b2f4,Dental hygiene/Hygienist
b565f0e4-a488-4fc6-b8e4-fc6433269f52,Clinical child psychology
2be64dfe-7ae3-4fc4-bbab-619a769d567a,Mechanical engineering
9beb4db4-d9b7-45c1-aba8-9c017539c177,Exercise science and kinesiology
427b8ab8-0aaf-4466-9e54-3aa46fb26184,"English language and literature, general"
5bf76d3b-7a12-4f0f-af8e-ae9b8e0db05d,Environmental studies
5bf76d3b-7a12-4f0f-af8e-ae9b8e0db05d,"Sociology, general"
d7b02748-a449-41eb-a3d7-b5bdae692c49,"Economics, general"
7358eaab-17f9-4d96-ba22-db3e8607f6d9,Accounting
06b08112-42eb-47bc-9d16-24e65977aae3,International economics
bba2855a-9750-4769-b46b-a004a75576df,Agricultural economics
3a3a31e7-fa8d-4517-8c62-ed8d886e3b59,"English language and literature, general"
976a8350-c583-4b71-bafb-07e06783a580,"Aeronautics/Aviation/Aerospace science and technology, general"
97b5bbd7-5386-4773-94b4-f3db6068e931,"Marketing/Marketing management, general"
c7412e75-d660-4998-aee0-e86b0ce852a8,"Psychology, general"
49ff3c27-8e68-4b53-b7f1-3e383c9dfba9,"Psychology, general"
37778f76-b119-4649-8c99-02d4648ca27f,"Business administration, management and operations, other"
f03fea4e-171c-4c7d-af45-bec739d825c5,"Biology/Biological sciences, general"
d73442d5-6994-455d-bd41-dfd933f7b2a3,Environmental studies
ac90d887-a908-42e0-b1e6-8d1603be6eef,American government and politics (united states)
2d25994a-3dbe-4b8c-ba53-887d188f965d,"Political science and government, general"
ee08d025-9b83-41c0-a845-5e212a43e872,"Sociology, general"
d11f825e-4814-4f69-9234-ffed0d3e9d46,Environmental studies
d29c4ada-5bb4-482f-92a9-49340ca72a24,Accounting and finance
eac41156-2c10-43d7-adac-76bede1b5d56,"Biology/Biological sciences, general"
854bf9c9-1f98-4da2-bf63-f9e2a43173f7,Spanish language and literature
854bf9c9-1f98-4da2-bf63-f9e2a43173f7,Music
036aea3d-d53e-4a2a-887b-4f17fbf9c871,Journalism
767e1a6e-8670-48f8-be39-1be22f7263b2,"Economics, general"
d2969206-6dbb-4b13-805b-91fcecfe7146,"Biology/Biological sciences, general"
38ca0c66-5d6c-4182-b1b5-fcd55e96bab6,Pediatric surgery fellowship program
d2969206-6dbb-4b13-805b-91fcecfe7146,
19c7890f-d9ee-4d48-b31d-97547991e549,International business/Trade/Commerce
5fa43c87-54d0-4531-a94c-0b0d90c673d4,"Finance, general"
54667eea-f2a3-4ff2-9b86-cfcde3906a98,Applied psychology
54667eea-f2a3-4ff2-9b86-cfcde3906a98,Behavioral sciences
d1a532ae-da55-4815-a4d7-c57c16faf14a,"Clinical, counseling and applied psychology, other"
d1a532ae-da55-4815-a4d7-c57c16faf14a,Applied behavior analysis
c0ea95bd-ed2e-44db-a89f-f5a30e6e7cdf,Sports studies
25114b83-ea35-403c-993c-f00dfa586a20,Biological/Biosystems engineering
b0b41a08-8ac8-4bcc-8bc3-6031ab15fecd,"Psychology, general"
ad359ae8-6c4b-47ab-b70c-1cf7c50652c6,"Fine arts and art studies, other"
5ee373b9-dabb-487f-8d6b-184d90379ab2,Architecture
2775a6d9-f0ea-4387-9e90-45ce93a38364,Applied psychology
9f49fa72-b0bc-43fb-aca1-091f40577153,"Finance, general"
957acfdf-663a-48b8-ae1c-559c1fcfe9f4,"Biology/Biological sciences, general"
5ee373b9-dabb-487f-8d6b-184d90379ab2,"Civil engineering, general"
5ebe2c3b-906b-41fc-847f-a17f6ac45288,Health professions and related programs
729bfda2-2eca-4421-aab2-7ca1d91780d1,"Foods, nutrition, and wellness studies, general"
17967f4d-b0bd-4768-a836-d017a91f00b8,
9cc1af2c-dfcd-4580-8ff7-02ccf2fa9ffb,"Fine/Studio arts, general"
d9b26935-1501-4cee-8b9b-78cd0709679e,"Liberal arts and sciences, general studies and humanities, other"
68544df9-5bdd-49f0-92a6-d857ebea994f,"Sociology, general"
f128755f-9866-4944-b112-f800ac63f854,Computer science
63285f7e-4059-416c-a0b3-161912030fb3,"Food service, waiter/Waitress, and dining room management/Manager"
